id,titulo,autor,precio,idEditorial
1,Kanlam,Nathan Aldgate,1976193344,8
2,Tresom,Costanza Semken,8197288,6
3,Alpha,Valentia Gorst,1432107587,2
4,Namfix,Kipp Drewson,1936421487,4
5,Rank,Donica Mateo,1936746860,4
6,Wrapsafe,Clemens Brayley,4026977,10
7,Overhold,Miltie D'Emanuele,1802661719,4
8,Stim,Fergus Shoubridge,859059799,8
9,Cardify,Nathanael Cleeve,1818321775,6
10,Zaam-Dox,Nealy Tander,1281122676,9
11,Latlux,Lanny Matashkin,1701998435,7
12,Duobam,Dael Monsey,42205828,4
13,Viva,Corney Olpin,34603536,3
14,Biodex,Colette Malim,34603552,3
15,Tin,Jorgan Ilett,50397953,8
16,Bytecard,Christa Gladdish,0,3
17,Cardguard,Gaby Tubbs,0,4
18,Alphazap,Ciro Buddleigh,0,9
19,Cookley,Nikolaos Rickert,0,9
20,Span,Robbin Weeden,0,10
21,Tempsoft,Nikkie Flitcroft,0,7
22,Bitchip,Darelle Griffitt,0,3
23,Alphazap,Cello Weafer,0,9
24,Latlux,Bobbye Rabbitt,0,1
25,Tempsoft,Fairlie de Quesne,0,3
26,Holdlamis,Candace Harkness,0,7
27,Fix San,Barnebas Brugemann,0,7
28,Bamity,Shaylah Tradewell,0,2
29,Alphazap,Dixie Glencrash,1221,1
30,Subin,Benedicto Blazek,0,3
31,Bytecard,Mellicent Reavey,0,7
32,Treeflex,Kerk Mandry,0,10
33,Hatity,Cristal Blair,0,6
34,Regrant,Reina Stigger,0,10
35,Asoka,Jacky Asmus,0,8
36,Pannier,Paton Barth,1275,1
37,Overhold,Titus Quaif,0,6
38,Sonair,Janek Leabeater,0,10
39,Namfix,Babbette Clissold,0,9
40,Hatity,Elyn Menichino,0,2
41,Stringtough,Vitoria Bulpitt,0,6
42,Aerified,Earle McClymont,0,4
43,Latlux,Fabian Woodroff,0,3
44,Andalax,Helenelizabeth Coolahan,0,5
45,Tresom,Parsifal Cardoso,0,1
46,Tin,Nedi Dady,0,4
47,Vagram,Meade Woodford,0,2
48,Namfix,Rodney Flieg,0,9
49,Stronghold,Wells Brannan,0,4
50,Lotlux,Kristy Zannolli,0,7
51,Konklab,Adolf Bluett,0,5
52,Veribet,Gareth Broe,0,2
53,Voltsillam,Mellie Gallegos,0,9
54,Bamity,Chrissie Ricketts,0,8
55,Cardify,Katherina Woolatt,0,4
56,Bytecard,Cleo Edleston,0,4
57,Lotlux,Averill Boath,0,2
58,Keylex,Erl Samsonsen,0,3
59,Duobam,Ephraim Collingham,1276,1
60,Bytecard,Des Monsey,0,2
61,Gembucket,Nicoli Riding,0,6
62,Subin,Ellette Gabbott,718,1
63,Solarbreeze,Wilt Verdy,0,5
64,Bitwolf,Sunshine Tavinor,0,3
65,It,Des Wohlers,0,4
66,Bamity,Joellyn Brittin,0,8
67,Prodder,Jonathan Marklow,0,1
68,Treeflex,Xever Baines,0,10
69,Alphazap,Pammi Lehrle,0,3
70,Temp,Abramo Barnett,0,8
71,Latlux,Robinetta Whatling,0,6
72,Sub-Ex,Ursuline Lismore,0,5
73,Lotstring,Jennine D'Enrico,0,6
74,Alpha,Reta Conrath,0,9
75,Domainer,Kile Kingsnorth,0,6
76,Rank,Morgen Childs,0,3
77,Zaam-Dox,Miranda Mounsey,0,9
78,Bytecard,Dyna Ambler,0,4
79,Holdlamis,Martelle Liversidge,0,8
80,Greenlam,Brett Plaxton,318,1
81,Daltfresh,Mareah Beams,0,9
82,Treeflex,Marillin Cordero,0,8
83,Stringtough,Hadley Wynes,1378,1
84,Prodder,Lorry Haliday,0,10
85,Bitchip,Haywood Klaaassen,0,9
86,Wrapsafe,Mallissa Eustice,1288,1
87,Home Ing,Gordy Gabby,0,10
88,Otcom,Joanne Adame,0,2
89,Tresom,Adelheid Braisby,0,10
90,Opela,Dari Leslie,0,7
91,Zontrax,Stanislas Rainsdon,0,4
92,Flowdesk,Mordecai Byars,0,6
93,Regrant,Amity Glowacha,0,8
94,Tampflex,Charin Alvares,0,2
95,Redhold,Alano Corey,0,6
96,Y-Solowarm,Constanta Featherstonehaugh,0,4
97,Cardify,Barret Livingstone,0,9
98,Vagram,Jard Skillings,0,4
99,Transcof,Idell Toleman,0,5
100,Andalax,Norine Minifie,0,8
101,Flexidy,Tracy Milch,0,8
102,Gembucket,Rhianon Hurdman,0,10
103,Bitwolf,Doria Veltman,0,8
104,Alpha,Marlane Ridding,1331,1
105,Tin,Barnabas Ellesworthe,0,2
